Date,RegionName,AreaCode,AveragePrice,Index,IndexSA,1m%Change,12m%Change,AveragePriceSA,SalesVolume,DetachedPrice,DetachedIndex,Detached1m%Change,Detached12m%Change,SemiDetachedPrice,SemiDetachedIndex,SemiDetached1m%Change,SemiDetached12m%Change,TerracedPrice,TerracedIndex,Terraced1m%Change,Terraced12m%Change,FlatPrice,FlatIndex,Flat1m%Change,Flat12m%Change,CashPrice,CashIndex,Cash1m%Change,Cash12m%Change,CashSalesVolume,MortgagePrice,MortgageIndex,Mortgage1m%Change,Mortgage12m%Change,MortgageSalesVolume,FTBPrice,FTBIndex,FTB1m%Change,FTB12m%Change,FOOPrice,FOOIndex,FOO1m%Change,FOO12m%Change,NewPrice,NewIndex,New1m%Change,New12m%Change,NewSalesVolume,OldPrice,OldIndex,Old1m%Change,Old12m%Change,OldSalesVolume
01/01/1995,Isle of Wight,E06000046,43793,16.2,,,,,177,69315,16.2,,,45473,15.4,,,35081,15.5,,,30104,19,,,,,,,,,,,,,,,,,,,,,50890,16.1,,,8,43697,16.2,,,169
01/02/1995,Isle of Wight,E06000046,43093,16,,-1.6,,,179,67904,15.9,-2,,44960,15.3,-1.1,,34548,15.2,-1.5,,29595,18.7,-1.7,,,,,,,,,,,,,,,,,,,,50594,16,-0.6,,16,42968,16,-1.7,,163
01/03/1995,Isle of Wight,E06000046,43016,15.9,,-0.2,,,235,67531,15.8,-0.5,,44948,15.3,0,,34613,15.3,0.2,,29554,18.7,-0.1,,,,,,,,,,,,,,,,,,,,50684,16.1,0.2,,18,42880,15.9,-0.2,,217
01/04/1995,Isle of Wight,E06000046,42489,15.7,,-1.2,,,169,66440,15.5,-1.6,,44489,15.1,-1,,34262,15.1,-1,,29238,18.5,-1.1,,,,,,,,,,,,,,,,,,,,50141,15.9,-1.1,,10,42350,15.7,-1.2,,159
01/05/1995,Isle of Wight,E06000046,42727,15.8,,0.6,,,211,66782,15.6,0.5,,44761,15.2,0.6,,34468,15.2,0.6,,29384,18.6,0.5,,,,,,,,,,,,,,,,,,,,50325,16,0.4,,8,42592,15.8,0.6,,203
01/06/1995,Isle of Wight,E06000046,42494,15.8,,-0.5,,,194,66549,15.5,-0.3,,44507,15.1,-0.6,,34140,15,-1,,29262,18.5,-0.4,,,,,,,,,,,,,,,,,,,,49959,15.8,-0.7,,13,42365,15.7,-0.5,,181
01/07/1995,Isle of Wight,E06000046,42646,15.8,,0.4,,,224,67051,15.7,0.8,,44644,15.1,0.3,,34216,15.1,0.2,,29197,18.5,-0.2,,,,,,,,,,,,,,,,,,,,50084,15.9,0.3,,14,42520,15.8,0.4,,210
01/08/1995,Isle of Wight,E06000046,43319,16.1,,1.6,,,244,68400,16,2,,45288,15.4,1.4,,34735,15.3,1.5,,29493,18.6,1,,,,,,,,,,,,,,,,,,,,50678,16.1,1.2,,11,43204,16,1.6,,233
01/09/1995,Isle of Wight,E06000046,43052,16,,-0.6,,,204,68095,15.9,-0.4,,44998,15.3,-0.6,,34563,15.2,-0.5,,29167,18.4,-1.1,,,,,,,,,,,,,,,,,,,,50007,15.9,-1.3,,11,42959,16,-0.6,,193
01/10/1995,Isle of Wight,E06000046,42941,15.9,,-0.3,,,233,67969,15.9,-0.2,,44940,15.2,-0.1,,34317,15.1,-0.7,,29139,18.4,-0.1,,,,,,,,,,,,,,,,,,,,50172,15.9,0.3,,22,42830,15.9,-0.3,,211
01/11/1995,Isle of Wight,E06000046,42373,15.7,,-1.3,,,241,66985,15.6,-1.4,,44356,15.1,-1.3,,33751,14.9,-1.6,,28940,18.3,-0.7,,,,,,,,,,,,,,,,,,,,49776,15.8,-0.8,,27,42248,15.7,-1.4,,214
01/12/1995,Isle of Wight,E06000046,43282,16,,2.1,,,265,68393,16,2.1,,45360,15.4,2.3,,34415,15.2,2,,29584,18.7,2.2,,,,,,,,,,,,,,,,,,,,51503,16.3,3.5,,31,43115,16,2.1,,234
01/01/1996,Isle of Wight,E06000046,44421,16.5,,2.6,1.4,,172,70156,16.4,2.6,1.2,46573,15.8,2.7,2.4,35403,15.6,2.9,0.9,30279,19.1,2.3,0.6,,,,,,,,,,,,,,,,,,,53261,16.9,3.4,4.7,16,44225,16.4,2.6,1.2,156
01/02/1996,Isle of Wight,E06000046,44522,16.5,,0.2,3.3,,202,70148,16.4,0,3.3,46813,15.9,0.5,4.1,35603,15.7,0.6,3.1,30232,19.1,-0.2,2.2,,,,,,,,,,,,,,,,,,,53798,17.1,1,6.3,21,44301,16.5,0.2,3.1,181
01/03/1996,Isle of Wight,E06000046,44116,16.4,,-0.9,2.6,,251,69680,16.3,-0.7,3.2,46430,15.8,-0.8,3.3,35208,15.5,-1.1,1.7,29829,18.9,-1.3,0.9,,,,,,,,,,,,,,,,,,,53518,17,-0.5,5.6,17,43884,16.3,-0.9,2.3,234
01/04/1996,Isle of Wight,E06000046,42889,15.9,,-2.8,0.9,,215,67642,15.8,-2.9,1.8,45104,15.3,-2.9,1.4,34297,15.1,-2.6,0.1,29057,18.4,-2.6,-0.6,,,,,,,,,,,,,,,,,,,51930,16.5,-3,3.6,17,42669,15.8,-2.8,0.8,198
01/05/1996,Isle of Wight,E06000046,42850,15.9,,-0.1,0.3,,285,67710,15.8,0.1,1.4,44954,15.3,-0.3,0.4,34284,15.1,0,-0.5,29003,18.3,-0.2,-1.3,,,,,,,,,,,,,,,,,,,51518,16.3,-0.8,2.4,24,42654,15.8,0,0.1,261
01/06/1996,Isle of Wight,E06000046,42914,15.9,,0.1,1,,291,67673,15.8,-0.1,1.7,44948,15.3,0,1,34383,15.2,0.3,0.7,29207,18.5,0.7,-0.2,,,,,,,,,,,,,,,,,,,51463,16.3,-0.1,3,23,42726,15.9,0.2,0.8,268
01/07/1996,Isle of Wight,E06000046,43455,16.1,,1.3,1.9,,291,68702,16,1.5,2.5,45569,15.5,1.4,2.1,34760,15.3,1.1,1.6,29410,18.6,0.7,0.7,,,,,,,,,,,,,,,,,,,51866,16.4,0.8,3.6,21,43280,16.1,1.3,1.8,270
01/08/1996,Isle of Wight,E06000046,43621,16.2,,0.4,0.7,,284,69328,16.2,0.9,1.4,45714,15.5,0.3,0.9,34775,15.3,0,0.1,29336,18.5,-0.3,-0.5,,,,,,,,,,,,,,,,,,,52037,16.5,0.3,2.7,19,43447,16.1,0.4,0.6,265
01/09/1996,Isle of Wight,E06000046,44086,16.3,,1.1,2.4,,309,70333,16.4,1.5,3.3,46155,15.7,1,2.6,35147,15.5,1.1,1.7,29436,18.6,0.3,0.9,,,,,,,,,,,,,,,,,,,52197,16.6,0.3,4.4,17,43934,16.3,1.1,2.3,292
01/10/1996,Isle of Wight,E06000046,43446,16.1,,-1.5,1.2,,293,69530,16.2,-1.1,2.3,45462,15.4,-1.5,1.2,34546,15.2,-1.7,0.7,28928,18.3,-1.7,-0.7,,,,,,,,,,,,,,,,,,,51405,16.3,-1.5,2.5,25,43298,16.1,-1.4,1.1,268
01/11/1996,Isle of Wight,E06000046,43234,16,,-0.5,2,,270,69047,16.1,-0.7,3.1,45270,15.4,-0.4,2.1,34392,15.2,-0.4,1.9,28878,18.3,-0.2,-0.2,,,,,,,,,,,,,,,,,,,51164,16.2,-0.5,2.8,25,43087,16,-0.5,2,245
